affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,atk,reisa,shun,tshiroko,marina,nagisa,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,2.0
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,iori,tshiroko,hoshino,marina,sayane,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,marina,hoshino,tshiroko,haruka,sayane,sshiroko,1,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,iori,hoshino,tshiroko,haruka,saki,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,iori,hoshino,tshiroko,marina,saki,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,tshiroko,hoshino,haruka,shun,sayane,sshiroko,1,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,iori,marina,tshiroko,haruka,sayane,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,hoshino,nyharuna,tshiroko,marina,sayane,sshiroko,1,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,hoshino,iori,tshiroko,marina,sayane,sshiroko,0,
indoor,atk,reisa,shun,tshiroko,hoshino,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,13.0
indoor,atk,reisa,shun,marina,tshiroko,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,13.0
indoor,atk,reisa,shun,marina,tshiroko,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,13.0
indoor,atk,reisa,shun,marina,tshiroko,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,0,13.0
indoor,atk,reisa,shun,marina,tshiroko,sayane,sshiroko,marina,tshiroko,iori,hoshino,sayane,sshiroko,1,9.0
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,hoshino,shun,tshiroko,marina,sayane,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,hoshino,tsurugi,tshiroko,haruka,utaha,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,tshiroko,hoshino,shun,marina,sayane,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,shun,tshiroko,hoshino,iori,hibiki,sshiroko,0,
indoor,def,hoshino,tshiroko,shun,marina,sayane,sshiroko,haruka,tshiroko,hoshino,reisa,sayane,sshiroko,0,
